0,0,0,0,0,0.561,0.561,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.128,0.128,0.0,890.245,0.21,2.22
0.815,0,0,0,0,0.561,0.515,0.0,0.0,0,0,0,0.626,0.626,0.0,0.0,0.195,0.195,-645.0,567.328,2.816,2.192
1.055,0.0,0,0.0,0.0,0.561,0.333,0.0,0.0,2.5,0,0,0.824,0.824,0.711,0.711,0.308,0.308,-1563.0,503.19,0.622,1.934
0.945,1.8,0,0.12,0.0,0.561,0.259,0.0,0.0,2.812,0,0.5,0.824,0.397,0.711,0.496,0.299,0.308,212.0,606.962,0.896,1.124
1.317,0.65,1.8,0.098,0.849,0.561,0.164,0.0,0.0,3.0,0,0.371,0.824,0.271,0.711,0.696,0.302,0.308,0,645.301,2.627,2.634
0.958,1.883,1.8,0.185,0.735,0.561,0.293,0.0,0.0,1.875,0,0.038,0.824,0.22,0.711,0.593,0.429,0.429,0,501.713,2.602,1.084
1.103,0.429,1.883,0.168,0.831,0.82,0.82,0.0,0.0,3.214,0,0.099,0.824,0.363,0.711,0.0,0.44,0.44,0,700.222,2.761,2.952
1.153,0.72,1.883,0.156,0.776,0.82,0.526,0.0,0.0,2.812,0,0.066,0.824,0.156,0.711,0.021,0.354,0.44,0,581.262,2.508,2.201
1.036,0.724,1.883,0.151,0.719,0.82,0.56,0.0,0.0,1.667,0,0.045,0.824,0.09,0.762,0.762,0.326,0.44,0,488.977,2.534,2.301
1.048,0.414,1.883,0.141,0.673,0.82,0.453,0.0,0.0,2.625,0,0.064,0.824,0.092,0.762,0.0,0.436,0.44,0,486.472,2.746,1.664
1.089,0.388,1.883,0.133,0.644,0.82,0.437,0.0,0.0,1.364,0,0.076,0.824,0.117,0.762,0.242,0.28,0.44,0,491.307,2.581,1.846
0.999,0.411,1.883,0.127,0.62,0.82,0.39,0.0,0.0,1.25,0,0.07,0.824,0.166,0.762,0.0,0.161,0.44,0,514.682,2.432,2.139
1.182,0.251,1.883,0.122,0.597,0.82,0.279,0.0,0.0,1.154,0,0.091,0.397,0.108,0.762,0.188,0.042,0.44,0,465.272,1.016,1.653
1.174,0.459,1.883,0.123,0.584,0.82,0.106,0.333,0.086,3.214,3.003,0.048,0.363,0.128,0.762,0.0,0.064,0.44,0,567.696,0.815,2.103
1.021,0.449,1.883,0.122,0.563,0.82,0.251,0.333,0.113,3.5,3.003,0.022,0.363,0.0,0.762,0.0,0.176,0.44,0,521.565,1.918,2.488
1.042,-0.043,1.883,0.118,0.544,0.82,0.294,0.333,0.13,3.281,3.003,0.042,0.363,0.259,0.762,0.0,0.191,0.44,0,463.752,1.234,1.267
0.977,0.121,1.926,0.114,0.551,0.56,0.47,0.333,0.141,3.088,3.003,0.056,0.471,0.471,0.762,0.0,0.208,0.436,0,480.695,0.997,1.408
1.008,-0.425,1.926,0.112,0.544,0.56,0.486,0.267,0.144,3.333,3.745,0.085,0.471,0.404,0.762,0.0,0.189,0.436,0,760.502,1.357,1.257
0.926,0.063,2.308,0.11,0.575,0.559,0.559,0.267,0.146,3.158,3.745,0.091,0.471,0.377,0.242,0.0,0.23,0.436,0,760.502,1.017,2.17
1.0,-0.221,2.308,0.111,0.567,0.559,0.551,0.267,0.147,3.0,3.745,0.112,0.471,0.0,0.242,0.0,0.206,0.28,0,752.614,1.173,2.171
0.937,-0.191,2.308,0.108,0.572,0.566,0.566,0.267,0.147,0.714,3.745,0.21,0.471,0.322,0.188,0.0,0.209,0.23,0,506.859,0.722,2.348
0.977,-0.124,2.308,0.108,0.574,0.566,0.445,0.267,0.147,0.682,3.745,0.25,0.471,0.223,0.188,0.0,0.132,0.23,0,426.246,2.765,2.245
0.992,-0.089,2.308,0.106,0.571,0.566,0.277,0.333,0.15,0.652,3.003,0.267,0.471,0.237,0.0,0.0,0.095,0.23,0,528.387,2.46,0.92
0.895,-0.121,2.308,0.104,0.566,0.566,0.075,0.333,0.153,0.625,3.003,0.274,0.471,0.102,0.0,0.0,0.243,0.243,0,738.311,2.334,1.329
0.889,-0.13,2.308,0.106,0.561,0.634,0.634,0.333,0.154,0.6,3.003,0.308,0.471,0.071,0.812,0.812,0.624,0.624,0,575.506,2.799,2.77
0.975,-0.366,2.308,0.107,0.557,0.634,0.506,0.333,0.155,0.6,3.003,0.336,0.471,0.364,0.812,0.0,0.455,0.624,0,575.506,2.579,2.152
0.888,-0.249,2.308,0.105,0.562,0.634,0.617,0.333,0.156,0.6,3.003,0.341,0.886,0.886,0.812,0.686,0.39,0.624,0,490.179,2.512,2.163
1.048,-0.166,2.308,0.101,0.569,0.634,0.559,0.333,0.157,0.75,3.003,0.331,0.886,0.126,0.812,0.0,0.597,0.624,0,475.31,2.733,2.139
