0,0,0,0,0,0.687,0.687,0.0,0.0,0,0,0,0.31,0.31,0.594,0.594,0.747,0.747,0.0,653.253,0.49,1.243
1.273,0,0,0,0,0.687,0.0,0.0,0.0,0,0,0,0.645,0.645,0.804,0.804,0.296,0.747,0.0,588.638,2.59,0.744
1.298,0.0,0,0.0,0.0,0.687,0.0,0.0,0.0,2.5,0,0,0.645,0.618,0.804,0.0,0.293,0.747,-628.0,693.37,0.819,0.744
1.287,0.188,0,0.013,0.0,0.687,0.682,0.0,0.0,2.812,0,0.5,0.645,0.345,0.804,0.0,0.341,0.747,206.0,617.616,2.921,0.976
1.164,0.07,0.188,0.01,0.089,0.687,0.551,0.0,0.0,2.25,0,0.389,0.645,0.224,0.804,0.665,0.0,0.747,-97.0,533.22,2.921,0.697
1.193,-0.409,0.188,0.054,0.077,0.687,0.521,0.0,0.0,2.5,0,0.003,0.645,0.137,0.804,0.196,0.0,0.747,0,561.702,2.921,0.25
1.258,-0.24,0.597,0.054,0.201,0.687,0.316,0.0,0.0,2.143,0,0.024,0.645,0.301,0.804,0.0,0.0,0.747,0,527.0,2.935,2.424
1.117,-0.037,0.597,0.05,0.2,0.687,0.0,0.0,0.0,1.406,0,0.096,0.645,0.288,0.804,0.0,0.477,0.747,490.0,562.523,0.524,0.423
1.215,-0.334,0.597,0.064,0.185,0.687,0.0,0.0,0.0,1.25,0,0.041,0.645,0.11,0.804,0.0,0.348,0.747,-331.0,747.663,2.085,0.566
1.26,-0.109,0.597,0.06,0.195,0.687,0.0,0.0,0.0,1.125,0,0.076,0.645,0.564,0.804,0.789,0.775,0.775,-289.0,561.627,0.527,0.566
1.194,-0.022,0.597,0.058,0.184,0.682,0.0,0.0,0.0,2.045,0,0.113,0.645,0.201,0.804,0.391,0.596,0.775,2831.0,561.907,2.493,0.0
1.206,-0.118,0.597,0.056,0.176,0.852,0.852,0.0,0.0,1.875,0,0.082,0.618,0.071,0.789,0.0,0.745,0.775,-2271.0,550.093,0.439,2.491
1.286,-0.091,0.597,0.054,0.168,0.852,0.777,0.4,0.107,1.731,2.5,0.067,0.564,0.082,0.789,0.466,0.591,0.775,1919.0,545.7,0.293,0.61
1.28,0.016,0.597,0.054,0.161,0.852,0.254,0.4,0.14,0.804,2.5,0.094,0.564,0.298,0.789,0.64,0.0,0.775,0,649.233,0.293,0.944
1.345,0.009,0.597,0.054,0.157,0.852,0.097,0.4,0.16,1.0,2.5,0.106,0.564,0.125,0.789,0.0,0.467,0.775,-122.0,630.95,2.726,0.136
1.279,0.059,0.597,0.059,0.154,0.852,0.522,0.4,0.173,0.938,2.5,0.134,0.564,0.215,0.789,0.0,0.556,0.775,0,505.658,2.495,0.425
1.16,-0.01,0.597,0.058,0.152,0.852,0.0,0.4,0.182,0.882,2.5,0.111,0.564,0.402,0.789,0.0,0.0,0.775,-1170.0,544.518,2.495,0.425
1.154,-0.005,0.597,0.06,0.148,0.852,0.723,0.4,0.189,0.833,2.5,0.04,0.564,0.247,0.79,0.79,0.794,0.794,-116.0,582.471,2.65,0.706
1.292,-0.049,0.597,0.061,0.144,0.852,0.0,0.4,0.193,0.789,2.5,0.005,0.564,0.214,0.79,0.566,0.0,0.794,0,548.513,2.65,0.593
1.173,0.043,0.597,0.061,0.14,0.852,0.628,0.467,0.201,0.75,2.141,0.006,0.402,0.305,0.79,0.0,0.297,0.794,-721.0,540.456,1.958,1.686
1.063,0.07,0.597,0.061,0.138,0.852,0.0,0.467,0.206,0.714,2.141,0.189,0.402,0.347,0.79,0.496,0.0,0.794,304.0,574.86,2.713,1.686
1.049,-0.19,0.597,0.07,0.138,0.777,0.0,0.467,0.21,0.682,2.141,0.194,0.402,0.136,0.79,0.316,0.197,0.794,0,554.912,2.667,1.686
1.038,-0.264,0.597,0.078,0.138,0.87,0.87,0.467,0.213,0.652,2.141,0.241,0.402,0.266,0.79,0.0,0.181,0.794,0,652.286,2.908,2.548
1.066,-0.195,0.597,0.085,0.141,0.87,0.324,0.467,0.215,0.625,2.141,0.297,0.402,0.061,0.79,0.195,0.0,0.794,0,549.138,0.497,2.601
1.122,-0.175,0.597,0.088,0.141,0.87,0.299,0.467,0.217,0.6,2.141,0.333,0.402,0.066,0.79,0.311,0.563,0.794,487.0,885.62,0.846,1.125
1.098,-0.205,0.597,0.088,0.139,0.87,0.396,0.467,0.218,0.6,2.141,0.34,0.402,0.111,0.79,0.297,0.0,0.794,0,695.063,0.615,1.571
1.071,-0.227,0.597,0.088,0.139,0.87,0.519,0.467,0.218,0.6,2.141,0.349,0.347,0.077,0.79,0.27,0.0,0.794,-1462.0,732.856,0.615,1.379
1.077,-0.343,0.597,0.09,0.141,0.87,0.0,0.467,0.218,0.6,2.141,0.397,0.347,0.052,0.566,0.258,0.623,0.623,395.0,519.639,2.101,1.379
