0,0,0,0,0,0.535,0.535,0.0,0.0,0,0,0,0.151,0.151,0.526,0.526,0.0,0.0,0.0,810.853,0,1.64
1.005,0,0,0,0,0.535,0.505,0.0,0.0,0,0,0,0.151,0.078,0.526,0.0,0.147,0.147,-730.0,917.725,0.461,1.319
1.542,0.0,0,0.0,0.0,0.535,0.221,0.0,0.0,1.25,0,0,0.151,0.0,0.526,0.0,0.263,0.263,670.0,640.22,0.537,1.238
1.231,4.028,0,0.269,0.0,0.535,0.0,0.0,0.0,2.812,0,0.5,0.268,0.268,0.526,0.0,0.0,0.263,0,609.604,0.537,0.303
1.23,1.13,4.028,0.22,1.899,0.535,0.123,0.0,0.0,2.25,0,0.267,0.268,0.097,0.612,0.612,0.416,0.416,0,640.701,2.845,2.024
1.092,0.844,4.028,0.191,1.647,0.535,0.0,0.0,0.0,1.875,0,0.148,0.268,0.0,0.612,0.0,0.464,0.464,0,680.906,2.077,2.024
1.062,0.261,4.028,0.182,1.484,0.535,0.0,0.0,0.0,1.607,0,0.102,0.268,0.074,0.696,0.696,0.0,0.464,0,607.044,2.077,2.024
1.064,0.143,4.028,0.177,1.399,0.811,0.811,0.0,0.0,1.406,0,0.018,0.268,0.115,0.841,0.841,0.0,0.464,0,874.565,2.508,0.603
1.035,0.126,4.028,0.17,1.333,0.811,0.577,0.0,0.0,1.25,0,0.001,0.268,0.146,0.841,0.226,0.0,0.464,0,556.424,2.508,1.409
1.057,0.056,4.028,0.165,1.274,0.811,0.664,0.0,0.0,1.125,0,0.019,0.268,0.184,0.841,0.411,0.378,0.464,0,556.424,1.075,1.61
1.0,0.087,4.028,0.159,1.225,0.829,0.829,0.0,0.0,1.023,0,0.058,0.268,0.233,0.841,0.161,0.228,0.464,0,587.82,1.121,2.274
1.071,-0.007,4.028,0.157,1.178,0.829,0.0,0.0,0.0,0.938,0,0.08,0.281,0.281,0.841,0.668,0.605,0.605,0,658.071,0.152,2.62
1.215,0.09,4.035,0.151,1.14,0.829,0.0,0.0,0.0,0.865,0,0.138,0.339,0.339,0.841,0.466,0.0,0.605,0,763.103,0.152,0.244
1.178,0.263,4.035,0.147,1.1,0.829,0.23,0.0,0.0,0.804,0,0.237,0.367,0.367,0.841,0.428,0.071,0.605,0,622.847,1.27,0.541
1.247,0.216,4.035,0.141,1.06,0.829,0.157,0.0,0.0,0.75,0,0.259,0.397,0.397,0.841,0.237,0.259,0.605,0,599.888,0.418,0.904
1.172,-0.369,4.035,0.139,1.025,0.829,0.0,0.0,0.0,0.703,0,0.264,0.482,0.482,0.841,0.411,0.393,0.605,0,675.699,2.745,2.977
1.154,-0.074,4.397,0.135,1.015,0.829,0.593,0.0,0.0,0.662,0,0.227,0.482,0.419,0.841,0.54,0.0,0.605,0,571.433,0.168,1.958
1.326,-0.095,4.397,0.13,0.991,0.829,0.0,0.0,0.0,1.042,0,0.184,0.482,0.264,0.668,0.448,0.335,0.605,0,594.766,0.981,2.728
1.265,0.292,4.397,0.133,0.969,0.829,0.542,0.4,0.089,1.184,2.5,0.185,0.482,0.42,0.668,0.578,0.0,0.605,0,1070.319,0.179,2.063
1.157,0.254,4.397,0.132,0.942,0.829,0.482,0.4,0.12,1.125,2.5,0.167,0.482,0.291,0.668,0.554,0.0,0.605,0,732.165,0.0,1.71
1.327,0.116,4.397,0.128,0.917,0.593,0.477,0.4,0.14,1.071,2.5,0.587,0.482,0.232,0.668,0.343,0.379,0.605,0,715.026,3.041,0.78
1.078,0.365,4.397,0.13,0.896,0.621,0.621,0.4,0.154,1.023,2.5,0.578,0.482,0.185,0.578,0.167,0.155,0.393,0,595.061,0.342,0.307
1.218,0.026,4.397,0.128,0.874,0.621,0.037,0.4,0.165,1.141,2.5,0.517,0.482,0.171,0.578,0.21,0.265,0.393,-658.0,815.948,1.677,0.608
1.138,0.272,4.397,0.126,0.857,0.621,0.474,0.4,0.173,1.094,2.5,0.483,0.482,0.176,0.578,0.227,0.0,0.393,854.0,947.134,3.041,0.585
1.207,0.084,4.397,0.123,0.839,0.621,0.0,0.4,0.18,1.35,2.5,0.436,0.666,0.666,0.578,0.462,0.0,0.393,-688.0,611.191,0.374,2.763
1.063,-0.01,4.397,0.121,0.823,0.621,0.593,0.4,0.185,2.4,2.5,0.397,0.666,0.164,0.578,0.266,0.595,0.595,1080.0,702.801,2.557,1.776
1.15,-0.144,4.397,0.12,0.809,0.709,0.709,0.4,0.189,2.4,2.5,0.354,0.666,0.572,0.578,0.0,0.723,0.723,0,600.744,2.598,1.045
1.168,-0.121,4.397,0.116,0.812,0.709,0.636,0.6,0.204,2.4,1.667,0.316,0.666,0.584,0.578,0.265,0.443,0.723,0,765.541,2.155,1.459
