0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.086,0.086,0.276,0.276,0.0,0.0,0.0,756.849,0,0
1.872,0,0,0,0,0.274,0.274,0.0,0.0,0,0,0,0.086,0.0,0.276,0.0,0.521,0.521,527.0,878.976,2.78,0.532
0.832,0.0,0,0.0,0.0,0.274,0.031,0.0,0.0,2.5,0,0,0.086,0.0,0.409,0.409,0.0,0.521,-710.0,878.976,2.78,2.035
0.975,-7.8,0,0.52,0.0,0.274,0.0,0.0,0.0,2.812,0,0.5,0.086,0.0,0.851,0.851,0.0,0.521,-68.0,1806.587,2.78,2.335
1.236,-4.485,7.8,0.46,3.677,0.274,0.0,0.0,0.0,3.0,0,0.635,0.086,0.0,0.851,0.0,0.396,0.521,-266.0,1275.009,0.524,0.692
0.998,-2.385,7.8,0.399,3.287,0.521,0.521,0.0,0.0,4.375,0,0.485,0.086,0.0,0.851,0.0,0.091,0.521,0,3986.95,2.71,1.024
1.032,-2.622,7.8,0.368,2.953,0.521,0.0,0.0,0.0,3.75,0,0.374,0.093,0.093,0.851,0.068,0.0,0.521,0,3986.95,2.71,1.024
1.353,-2.1,7.8,0.341,2.698,0.521,0.0,0.0,0.0,4.219,0,0.301,0.472,0.472,0.851,0.0,0.0,0.521,283.0,3986.95,2.634,2.576
1.001,-1.112,7.8,0.323,2.513,0.521,0.0,0.0,0.0,4.167,0,0.331,0.826,0.826,0.851,0.0,0.0,0.521,0,2923.121,2.634,2.548
1.214,-1.633,7.8,0.308,2.414,0.521,0.0,0.0,0.0,4.875,0,0.156,0.826,0.0,0.851,0.0,0.379,0.521,-219.0,584.714,2.041,2.548
1.313,-1.097,7.8,0.291,2.294,0.673,0.673,0.0,0.0,4.773,0,0.118,0.826,0.0,0.851,0.188,0.816,0.816,0,1326.718,2.489,0.947
1.231,-0.839,7.8,0.279,2.215,0.673,0.0,0.0,0.0,3.438,0,0.113,0.826,0.0,0.851,0.0,0.0,0.816,0,636.882,2.544,0.947
1.316,-0.874,7.8,0.267,2.154,0.673,0.0,0.0,0.0,3.173,0,0.081,0.826,0.562,0.851,0.0,0.0,0.816,554.0,1508.523,2.742,0.947
1.346,-0.695,7.8,0.258,2.094,0.673,0.0,0.0,0.0,3.75,0,0.071,0.826,0.0,0.188,0.121,0.0,0.816,111.0,843.853,2.742,0.947
1.269,-0.658,7.8,0.251,2.046,0.673,0.0,0.0,0.0,3.5,0,0.063,0.826,0.0,0.188,0.0,0.0,0.816,0,843.853,2.742,0.947
1.271,0.546,7.8,0.242,2.0,0.673,0.51,0.0,0.0,3.516,0,0.041,0.826,0.0,0.188,0.0,0.0,0.816,0,621.045,2.742,2.691
1.282,0.37,8.346,0.235,2.025,0.673,0.142,0.467,0.11,3.971,2.141,0.024,0.826,0.116,0.188,0.0,0.264,0.816,0,588.8,1.195,1.336
1.367,0.058,8.346,0.228,2.025,0.673,0.32,0.467,0.147,3.75,2.141,0.013,0.826,0.187,0.188,0.0,0.0,0.816,0,834.088,0.289,1.404
1.248,0.461,8.346,0.223,2.002,0.673,0.595,0.467,0.17,3.75,2.141,0.011,0.562,0.0,0.188,0.0,0.0,0.816,0,834.088,0.314,1.137
1.2,0.27,8.346,0.217,1.996,0.73,0.73,0.467,0.187,2.062,2.141,0.003,0.562,0.083,0.226,0.226,0.407,0.816,0,669.579,0.739,2.247
1.336,-0.191,8.346,0.212,1.978,0.73,0.0,0.467,0.199,2.143,2.141,0.284,0.562,0.181,0.226,0.0,0.0,0.407,0,518.913,0.238,0.768
1.256,0.419,8.346,0.207,1.942,0.839,0.839,0.333,0.2,2.045,3.003,0.289,0.562,0.0,0.226,0.0,0.0,0.407,0,518.913,0.238,0.968
1.217,0.053,8.346,0.203,1.928,0.839,0.0,0.333,0.2,0.652,3.003,0.297,0.187,0.0,0.226,0.0,0.0,0.407,0,1391.977,0.238,2.713
1.327,-0.12,8.346,0.198,1.901,0.839,0.569,0.333,0.2,0.625,3.003,0.311,0.187,0.114,0.226,0.0,0.682,0.682,0,1391.977,0.063,2.484
1.347,0.12,8.346,0.194,1.87,0.839,0.192,0.333,0.2,0.6,3.003,0.301,0.487,0.487,0.226,0.0,0.358,0.682,0,1391.977,0.234,1.209
1.456,0.039,8.346,0.192,1.846,0.839,0.155,0.267,0.197,0.6,3.745,0.281,0.487,0.0,0.541,0.541,0.282,0.682,0,1391.977,1.859,2.768
1.297,0.137,8.346,0.192,1.82,0.839,0.347,0.267,0.195,0.6,3.745,0.233,0.487,0.106,0.541,0.143,0.0,0.682,0,977.313,1.859,2.251
1.291,0.035,8.346,0.145,1.823,0.839,0.513,0.267,0.192,0.6,3.745,0.419,0.487,0.0,0.541,0.049,0.417,0.682,0,977.313,2.457,1.53
